fame,segment,name_ko,stock_code,market,sector,group,homepage,ceo,listed,done,note
private,private,CJ올리브영,,비상장,H&B유통,CJ,https://www.oliveyoung.co.kr,,,,CJ·비상장
private,private,무신사,,비상장,패션커머스,,https://www.musinsa.com,,,Y,기수집(중복확인)
private,private,삼성디스플레이,,비상장,디스플레이,삼성,https://www.samsungdisplay.com,,,,삼성·비상장
private,private,HD현대오일뱅크,,비상장,정유,HD현대,https://www.hdoilbank.com,,,,HD현대·비상장
private,private,삼성웰스토리,,비상장,급식,삼성,https://www.samsungwelstory.com,,,,삼성·비상장
private,private,롯데글로벌로지스,,비상장,물류,롯데,https://www.lotteglogis.com,,,,롯데
private,private,호텔롯데,,비상장,호텔/면세,,https://www.hotellotte.co.kr,,,,롯데·비상장
private,private,한국GM,,비상장,완성차,,https://www.gm-korea.co.kr,,,,GM 한국사업장
private,private,르노코리아,,비상장,완성차,,https://www.renaultkorea.com,,,,비상장
private,private,쿠팡풀필먼트서비스,,비상장,물류,,https://www.coupang.jobs,,,,쿠팡 계열
private,private,네이버클라우드,,비상장,클라우드,네이버,https://www.ncloud.com,,,,네이버 계열
private,private,메가존클라우드,,비상장,클라우드,,https://www.megazone.com,,,,
private,private,베스핀글로벌,,비상장,클라우드,,https://www.bespinglobal.com,,,,
private,private,스마일게이트,,비상장,게임,,https://www.smilegate.com,,,,크로스파이어/로스트아크·비상장
private,private,라이엇게임즈코리아,,비상장,게임,,https://www.riotgames.com,,,,해외본사
private,private,당근,,비상장,로컬커뮤니티,,https://www.daangn.com,,,Y,기수집(중복확인)
private,private,야놀자,,비상장,여행플랫폼,,https://www.yanolja.com,,,Y,기수집(중복확인)
private,private,리멤버앤컴퍼니,,비상장,HR/명함,,https://rememberapp.co.kr,,,,
private,private,원티드랩,,비상장,HR,,https://www.wanted.co.kr,,,,상장(376980)일수있음
private,private,드라마앤컴퍼니,,비상장,HR,,https://dramancompany.com,,,,리멤버 운영사(중복주의)
private,private,당근페이,,비상장,핀테크,,https://www.daangnpay.com,,,,당근 계열
private,private,토스플레이스,,비상장,핀테크,,https://www.tossplace.com,,,,토스 계열
private,private,센드버드,,비상장,B2B SaaS,,https://sendbird.com,,,,美 본사
private,private,몰로코,,비상장,애드테크,,https://www.moloco.com,,,,美 본사
private,private,뱅크샐러드,,비상장,핀테크,,https://banksalad.com,,,,레이니스트
private,private,핀다,,비상장,핀테크,,https://finda.co.kr,,,,
private,private,뮤직카우,,비상장,핀테크,,https://www.musicow.com,,,,저작권 조각투자
low,listed-ext,대덕,008060,KOSPI,기타 금융업,,http://www.daeduckholdings.com,김영재,1989-01-26,,
low,listed-ext,동원시스템즈,014820,KOSPI,플라스틱제품 제조업,,http://dongwonsystems.com/,"조점근, 정용욱, 신동만, 윤성노",1994-03-29,,
low,listed-ext,빙그레,005180,KOSPI,동·식물성 유지 및 낙농제품 제조업,,http://www.bing.co.kr,김광수,1978-08-31,,
low,listed-ext,금양,001570,KOSPI,기초 화학물질 제조업,,http://www.kyc.co.kr,류광지,1976-12-17,,
private,private,11번가,,비상장,이커머스,SK,https://www.11st.co.kr,,,,SK스퀘어 계열·비상장
private,private,지마켓,,비상장,이커머스,신세계,https://www.gmarket.co.kr,,,,구 이베이코리아·신세계(이마트) 계열·비상장
